ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	15/148	67/11763	3.01255715807861e-15	2.23105067825805e-12	1.51645800791674e-12	MAPK9/RXRA/RXRG/IRS2/STK11/SLC2A4/G6PC2/PCK1/PPARA/LEPR/PPARGC1A/LEP/TNF/IRS1/ADIPOQ	15
KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY	15/148	69/11763	4.83434599839231e-15	2.23105067825805e-12	1.51645800791674e-12	APOA5/FABP4/FABP1/FABP3/FABP5/LPL/PPARD/RXRA/RXRG/FADS2/PCK1/SLC27A4/PPARA/ADIPOQ/PPARG	15
KEGG_TYPE_II_DIABETES_MELLITUS	KEGG_TYPE_II_DIABETES_MELLITUS	13/148	47/11763	1.13165517701069e-14	3.48172576126956e-12	2.36654907192411e-12	MAPK9/ABCC8/IRS2/SLC2A2/SLC2A4/INSR/PIK3R1/TNF/IRS1/KCNJ11/ADIPOQ/GCK/INS	13
PID_HNF3B_PATHWAY	PID_HNF3B_PATHWAY	11/148	45/11763	6.04932345666406e-12	1.39588138762523e-09	9.48788626360994e-10	NR3C1/ABCC8/DLK1/SLC2A2/PCK1/HNF1B/HNF1A/HNF4A/KCNJ11/GCK/INS	11
PID_AP1_PATHWAY	PID_AP1_PATHWAY	12/148	70/11763	5.71108184989325e-11	1.05426570949029e-08	7.16590480533975e-09	ESR1/FABP4/NR3C1/MAF/MMP9/PTEN/TP53/IL6/IL10/CCL2/CDKN2A/TCF7L2	12
KEGG_INSULIN_SIGNALING_PATHWAY	KEGG_INSULIN_SIGNALING_PATHWAY	15/148	137/11763	1.59883112075735e-10	2.45953520743172e-08	1.67176025959891e-08	CRK/GYS2/MAPK9/SOS1/IRS2/SREBF1/SLC2A4/G6PC2/PCK1/INSR/PIK3R1/PPARGC1A/IRS1/GCK/INS	15
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	8/148	25/11763	4.68718254294254e-10	6.02049394192929e-08	4.09216444020055e-08	SLC2A2/PAX4/HNF1B/HNF1A/HNF4A/HHEX/GCK/INS	8
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION	12/148	84/11763	5.21819626602755e-10	6.02049394192929e-08	4.09216444020055e-08	FABP4/LPL/RXRA/SREBF1/SLC2A4/PCK1/PPARA/PPARGC1A/LEP/TNF/ADIPOQ/PPARG	12
PID_RXR_VDR_PATHWAY	PID_RXR_VDR_PATHWAY	8/148	26/11763	6.69877260610282e-10	6.86996346159211e-08	4.66955376986816e-08	PPARD/RXRA/RXRG/SREBF1/PPARA/VDR/TNF/PPARG	8
KEGG_PATHWAYS_IN_CANCER	KEGG_PATHWAYS_IN_CANCER	20/148	325/11763	4.13634256422083e-09	3.81784418677582e-07	2.59501070344801e-07	CRK/IGF1/MMP9/NOS2/MAPK9/PPARD/PTEN/PTGS2/RXRA/RXRG/SOS1/TP53/VEGFA/GSTP1/IL6/PIK3R1/CDKN2B/CDKN2A/PPARG/TCF7L2	20
