ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS	REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS	4/36	30/11763	1.91310736255302e-06	0.000757590515570997	0.000491366522592566	PPARG/THRB/RORA/NR1H3	4
PID_HNF3B_PATHWAY	PID_HNF3B_PATHWAY	4/36	45/11763	1.00668463197165e-05	0.00192486482136401	0.00124845033602557	F2/ABCC8/FOXA3/KCNJ11	4
KEGG_AUTOIMMUNE_THYROID_DISEASE	KEGG_AUTOIMMUNE_THYROID_DISEASE	4/36	52/11763	1.80148554498641e-05	0.00192486482136401	0.00124845033602557	CTLA4/HLA-DQB1/HLA-DRB1/HLA-DRB3	4
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	4/36	53/11763	1.94430790036769e-05	0.00192486482136401	0.00124845033602557	PPARG/THRB/RORA/NR1H3	4
BIOCARTA_CTLA4_PATHWAY	BIOCARTA_CTLA4_PATHWAY	3/36	22/11763	3.89541369931268e-05	0.00257097304154637	0.00166751042567069	CTLA4/HLA-DRB1/HLA-DRB3	3
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION	REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION	3/36	22/11763	3.89541369931268e-05	0.00257097304154637	0.00166751042567069	F5/F2/THBD	3
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	4/36	69/11763	5.54366455694682e-05	0.00313613023507277	0.0020340663938271	F5/F2/THBD/SERPINE1	4
PID_RXR_VDR_PATHWAY	PID_RXR_VDR_PATHWAY	3/36	26/11763	6.52156522132899e-05	0.00322817478455785	0.00209376567632141	PPARG/THRB/NR1H3	3
BIOCARTA_BIOPEPTIDES_PATHWAY	BIOCARTA_BIOPEPTIDES_PATHWAY	3/36	29/11763	9.10766353085667e-05	0.00399895428118169	0.00259368645563087	F2/AGT/PRKCA	3
KEGG_ASTHMA	KEGG_ASTHMA	3/36	30/11763	0.000100983693969235	0.00399895428118169	0.00259368645563087	HLA-DQB1/HLA-DRB1/HLA-DRB3	3
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	6/36	260/11763	0.000122815838253196	0.00442137017711506	0.00286766167787367	F5/F2/PRKCA/DGKB/IGF2/SERPINE1	6
REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_INTERFERON_GAMMA_SIGNALING	4/36	93/11763	0.000177704273167478	0.00580106193247762	0.00376251757449373	HLA-DQB1/HLA-DRB1/HLA-DRB3/CAMK2B	4
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	3/36	37/11763	0.00019043890182376	0.00580106193247762	0.00376251757449373	HLA-DQB1/HLA-DRB1/HLA-DRB3	3
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	3/36	39/11763	0.000223053003486725	0.00597013687869929	0.00387217809251097	F5/F2/THBD	3
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	4/36	99/11763	0.000226141548435579	0.00597013687869929	0.00387217809251097	NDUFA12/NDUFA10/NDUFC2/COX5A	4
KEGG_GRAFT_VERSUS_HOST_DISEASE	KEGG_GRAFT_VERSUS_HOST_DISEASE	3/36	41/11763	0.000259084618934126	0.00641234431861961	0.00415898993552149	HLA-DQB1/HLA-DRB1/HLA-DRB3	3
KEGG_TYPE_I_DIABETES_MELLITUS	KEGG_TYPE_I_DIABETES_MELLITUS	3/36	43/11763	0.000298682712691933	0.00657101967922252	0.00426190537408372	HLA-DQB1/HLA-DRB1/HLA-DRB3	3
PID_THROMBIN_PAR1_PATHWAY	PID_THROMBIN_PAR1_PATHWAY	3/36	43/11763	0.000298682712691933	0.00657101967922252	0.00426190537408372	F2/NOS3/PRKCA	3
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	3/36	48/11763	0.000414233209347269	0.00863349215271151	0.00559960681887722	HLA-DQB1/HLA-DRB1/HLA-DRB3	3
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PEROXISOME_PROLIFERATOR_ACTIVATED_RECEPTOR_ALPHA_PPARALPHA	REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PEROXISOME_PROLIFERATOR_ACTIVATED_RECEPTOR_ALPHA_PPARALPHA	4/36	119/11763	0.000456736061672467	0.00864174788671573	0.00560496141509473	PPARG/AGT/RORA/NR1H3	4
BIOCARTA_BBCELL_PATHWAY	BIOCARTA_BBCELL_PATHWAY	2/36	11/11763	0.000492265080536637	0.00864174788671573	0.00560496141509473	HLA-DRB1/HLA-DRB3	2
BIOCARTA_EOSINOPHILS_PATHWAY	BIOCARTA_EOSINOPHILS_PATHWAY	2/36	11/11763	0.000492265080536637	0.00864174788671573	0.00560496141509473	HLA-DRB1/HLA-DRB3	2
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	4/36	122/11763	0.000501919700491065	0.00864174788671573	0.00560496141509473	NDUFA12/NDUFA10/NDUFC2/COX5A	4
