ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	56/225	265/11763	2.50649780009941e-43	2.48393931989852e-40	1.48279133016407e-40	CXCR3/IFNAR1/IL7/IL11/LEPR/CXCL9/IL22/IL21/CCL16/CCL17/CXCL6/CCL4/CCL5/TGFBR2/CCR2/VEGFC/CD40/LEP/KDR/IL17A/CXCR1/IL9/CSF3/CSF2/FLT1/IFNGR2/FASLG/CCL3/LTA/IL12A/FAS/IL15/IL2RB/CCL2/IL5/IL10RA/IL10RB/IL2RA/IL1R1/IFNG/IL18/IL4R/TGFB1/IL1R2/VEGFA/IL13/IL2/TNFRSF1A/TNFRSF1B/IL6R/IL1A/IL4/IL10/IL1B/IL6/TNF	56
REACTOME_INTERLEUKIN_10_SIGNALING	REACTOME_INTERLEUKIN_10_SIGNALING	27/225	46/11763	2.48425464790087e-35	1.23094817803488e-32	7.34816374800154e-33	CCL4/CCL5/STAT3/TIMP1/CCR2/CD80/CD86/ICAM1/CSF3/CSF2/CCL3/IL12A/CCL2/IL10RA/IL10RB/IL1R1/IL18/PTGS2/IL1R2/TNFRSF1A/TNFRSF1B/IL1A/IL1RN/IL10/IL1B/IL6/TNF	27
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	30/225	111/11763	1.18725217179772e-26	3.92188967417179e-24	2.34117796684322e-24	FN1/STAT1/STAT3/TIMP1/VCAM1/SOCS3/IL17A/ICAM1/FASLG/MMP3/IL12A/COL1A2/CCL2/IL18/IL4R/MMP2/TGFB1/PTGS2/VEGFA/MMP9/MMP1/IL13/TNFRSF1B/IL6R/IL1A/IL4/IL10/IL1B/IL6/TNF	30
KEGG_JAK_STAT_SIGNALING_PATHWAY	KEGG_JAK_STAT_SIGNALING_PATHWAY	32/225	155/11763	2.18329132427275e-24	5.40910425588575e-22	3.22897295852971e-22	AKT3/IFNAR1/IL7/IL11/LEPR/IL22/IL21/SOS1/STAT1/STAT3/SOCS2/SOCS3/LEP/IL9/CSF3/CSF2/IFNGR2/IL12A/IL15/IL2RB/IL5/IL10RA/IL10RB/IL2RA/IFNG/IL4R/IL13/IL2/IL6R/IL4/IL10/IL6	32
NABA_SECRETED_FACTORS	NABA_SECRETED_FACTORS	42/225	343/11763	1.79051936683214e-22	3.54880938506129e-20	2.11846712454665e-20	FGF1/ANGPT1/IGF2/IL7/IL11/CXCL9/IL22/WNT4/CCL16/CCL17/CXCL6/CCL4/CCL5/VEGFC/LEP/IL16/IL17A/IL9/CSF3/CSF2/FASLG/CCL3/LTA/IL12A/CRHBP/IL15/CCL2/IL5/IGF1/IFNG/IL18/TGFB1/VEGFA/IL13/IL2/IL1A/IL4/IL1RN/IL10/IL1B/IL6/TNF	42
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	25/225	102/11763	3.37404119040184e-21	5.57279136614704e-19	3.32668622632603e-19	AKT3/IFNAR1/IRF3/IRF5/CXCL9/CCL4/CCL5/STAT1/CD80/CD86/CD40/TLR1/IRAK1/TIRAP/CCL3/IL12A/TLR3/NFKB1/TLR9/TLR2/CD14/TLR4/IL1B/IL6/TNF	25
BIOCARTA_CYTOKINE_PATHWAY	BIOCARTA_CYTOKINE_PATHWAY	14/225	19/11763	6.25448398313438e-21	8.85456232469453e-19	5.28574435867898e-19	IL16/IL17A/IL9/IL15/IL5/IFNG/IL18/IL13/IL2/IL1A/IL4/IL10/IL6/TNF	14
BIOCARTA_INFLAM_PATHWAY	BIOCARTA_INFLAM_PATHWAY	15/225	29/11763	6.43489603181703e-19	7.97122745941335e-17	4.75843627615944e-17	IL7/IL11/CSF3/CSF2/IL15/IL5/IFNG/TGFB1/IL13/IL2/IL1A/IL4/IL10/IL6/TNF	15
KEGG_LEISHMANIA_INFECTION	KEGG_LEISHMANIA_INFECTION	18/225	72/11763	9.87277274201945e-16	1.08710197637125e-13	6.48947167370167e-14	CR1/HLA-DQA1/STAT1/C3/IRAK1/IFNGR2/IL12A/NFKB1/IFNG/TGFB1/PTGS2/TLR2/IL1A/IL4/IL10/TLR4/IL1B/TNF	18
KEGG_HEMATOPOIETIC_CELL_LINEAGE	KEGG_HEMATOPOIETIC_CELL_LINEAGE	19/225	87/11763	2.32180003675967e-15	2.18300786580645e-13	1.30314984394628e-13	CR1/CD55/IL7/IL11/CD38/CSF3/CSF2/IL5/IL2RA/IL1R1/IL4R/IL1R2/CD14/IL6R/IL1A/IL4/IL1B/IL6/TNF	19
