Gene_Set_Name	num_Genes_in_Gene_Set_(K)	Description	num_Genes_in_Overlap_(k)	k/K	p-value	FDR_q-value
KEGG_AUTOIMMUNE_THYROID_DISEASE	52	Autoimmune_thyroid_disease	8	0.1538	3.55E-15	1.97E-11
KEGG_ALLOGRAFT_REJECTION	37	Allograft_rejection	7	0.1892	4.36E-14	1.21E-10
KEGG_GRAFT_VERSUS_HOST_DISEASE	41	Graft-versus-host_disease	7	0.1707	9.47E-14	1.75E-10
KEGG_TYPE_I_DIABETES_MELLITUS	43	Type_I_diabetes_mellitus	7	0.1628	1.36E-13	1.88E-10
REACTOME_INTERFERON_GAMMA_SIGNALING	93	Interferon_gamma_signaling	8	0.0860	4.61E-13	5.12E-10
KEGG_VIRAL_MYOCARDITIS	70	Viral_myocarditis	7	0.1000	4.91E-12	4.54E-9
BIOCARTA_MHC_PATHWAY	14	Antigen_Processing_and_Presentation	5	0.3571	6.32E-12	4.62E-9
GAURNIER_PSMD4_TARGETS	73	Inflammatory_cytokines,_chemokines_and_their_cognate_receptors_up-regulated_in_THP-1_cells_(monocyte)_after_treatment_with_PSMD4_[GeneID=5710].	7	0.0959	6.65E-12	4.62E-9
SANA_RESPONSE_TO_IFNG_UP	75	Genes_up-regulated_in_five_primary_endothelial_cell_types_(lung,_aortic,_iliac,_dermal,_and_colon)_by_IFNG_[GeneID=3458].	7	0.0933	8.09E-12	4.74E-9
KEGG_CELL_ADHESION_MOLECULES_CAMS	133	Cell_adhesion_molecules_(CAMs)	8	0.0602	8.53E-12	4.74E-9
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	88	Antigen_processing_and_presentation	7	0.0795	2.55E-11	1.29E-8
BIOCARTA_CTLA4_PATHWAY	22	The_Co-Stimulatory_Signal_During_T-cell_Activation	5	0.2273	8.25E-11	3.82E-8
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PEROXISOME_PROLIFERATOR_ACTIVATED_RECEPTOR_ALPHA_PPARALPHA	119	Regulation_of_lipid_metabolism_by_Peroxisome_proliferator-activated_receptor_alpha_(PPARalpha)	7	0.0588	2.19E-10	9.33E-8
REACTOME_INTERFERON_SIGNALING	202	Interferon_Signaling	8	0.0396	2.43E-10	9.64E-8
KEGG_ASTHMA	30	Asthma	5	0.1667	4.43E-10	1.64E-7
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	856	Cytokine_Signaling_in_Immune_system	12	0.0140	8.62E-10	2.66E-7
BIOCARTA_BBCELL_PATHWAY	11	Bystander_B_Cell_Activation	4	0.3636	8.64E-10	2.66E-7
BIOCARTA_EOSINOPHILS_PATHWAY	11	The_Role_of_Eosinophils_in_the_Chemokine_Network_of_Allergy	4	0.3636	8.64E-10	2.66E-7
BIOCARTA_IL5_PATHWAY	13	IL_5_Signaling_Pathway	4	0.3077	1.87E-9	5.46E-7
BIOCARTA_BLYMPHOCYTE_PATHWAY	14	B_Lymphocyte_Cell_Surface_Molecules	4	0.2857	2.61E-9	6.91E-7
BIOCARTA_TCRA_PATHWAY	14	Lck_and_Fyn_tyrosine_kinases_in_initiation_of_TCR_Activation	4	0.2857	2.61E-9	6.91E-7
YOSHIMURA_MAPK8_TARGETS_UP	1179	Genes_up-regulated_in_vascular_smooth_muscle_cells_(VSMC)_by_MAPK8_(JNK1)_[GeneID=5599].	13	0.0110	2.78E-9	7.01E-7
BIOCARTA_ASBCELL_PATHWAY	15	Antigen_Dependent_B_Cell_Activation	4	0.2667	3.56E-9	8.59E-7
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	48	Intestinal_immune_network_for_IgA_production	5	0.1042	5.23E-9	1.21E-6
BIOCARTA_CSK_PATHWAY	22	Activation_of_Csk_by_cAMP-dependent_Protein_Kinase_Inhibits_Signaling_through_the_T_Cell_Receptor	4	0.1818	1.89E-8	4.21E-6
BIOCARTA_TH1TH2_PATHWAY	23	Th1/Th2_Differentiation	4	0.1739	2.29E-8	4.71E-6
REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE	23	Translocation_of_ZAP-70_to_Immunological_synapse	4	0.1739	2.29E-8	4.71E-6
REACTOME_CIRCADIAN_CLOCK	70	Circadian_Clock	5	0.0714	3.62E-8	7.17E-6
