Gene_Set_Name	num_Genes_in_Gene_Set_(K)	Description	num_Genes_in_Overlap_(k)	k/K	p-value	FDR_q-value
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	856	Cytokine_Signaling_in_Immune_system	112	0.1308	6.16E-84	3.42E-80
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	265	Cytokine-cytokine_receptor_interaction	74	0.2792	1.59E-80	4.42E-77
NABA_MATRISOME	1026	Ensemble_of_genes_encoding_extracellular_matrix_and_extracellular_matrix-associated_proteins	113	0.1101	2.38E-76	4.41E-73
REACTOME_SIGNALING_BY_INTERLEUKINS	631	Signaling_by_Interleukins	94	0.1490	3.03E-75	4.21E-72
YOSHIMURA_MAPK8_TARGETS_UP	1179	Genes_up-regulated_in_vascular_smooth_muscle_cells_(VSMC)_by_MAPK8_(JNK1)_[GeneID=5599].	103	0.0874	2.58E-59	2.86E-56
NABA_MATRISOME_ASSOCIATED	751	Ensemble_of_genes_encoding_ECM-associated_proteins_including_ECM-affilaited_proteins,_ECM_regulators_and_secreted_factors	86	0.1145	7.6E-59	7.03E-56
VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_UP	162	Angiogenic_markers_up-regulated_in_lymph_endothelial_cells_upon_infection_with_KSHV_(Kaposi's_sarcoma_herpes_virus).	48	0.2963	1.31E-53	1.04E-50
HALLMARK_ALLOGRAFT_REJECTION	200	Genes_up-regulated_during_transplant_rejection.	48	0.2400	1.1E-48	7.64E-46
NABA_SECRETED_FACTORS	343	Genes_encoding_secreted_soluble_factors	54	0.1574	2.97E-44	1.83E-41
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	301	Extracellular_matrix_organization	51	0.1694	1.73E-43	9.58E-41
HALLMARK_INFLAMMATORY_RESPONSE	200	Genes_defining_inflammatory_response.	44	0.2200	7.14E-43	3.61E-40
KEGG_GRAFT_VERSUS_HOST_DISEASE	41	Graft-versus-host_disease	27	0.6585	8.26E-43	3.82E-40
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	111	Interleukin-4_and_Interleukin-13_signaling	36	0.3243	4.87E-42	2.08E-39
HALLMARK_COAGULATION	138	Genes_encoding_components_of_blood_coagulation_system;_also_up-regulated_in_platelets.	38	0.2754	3.19E-41	1.27E-38
