Gene_Set_Name	num_Genes_in_Gene_Set_(K)	Description	num_Genes_in_Overlap_(k)	k/K	p-value	FDR_q-value
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	265	Cytokine-cytokine_receptor_interaction	124	0.4679	4.02E-162	2.23E-158
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	856	Cytokine_Signaling_in_Immune_system	164	0.1916	7.4E-143	2.06E-139
NABA_MATRISOME	1026	Ensemble_of_genes_encoding_extracellular_matrix_and_extracellular_matrix-associated_proteins	166	0.1618	5.51E-132	1.02E-128
REACTOME_SIGNALING_BY_INTERLEUKINS	631	Signaling_by_Interleukins	140	0.2219	3.52E-130	4.89E-127
NABA_MATRISOME_ASSOCIATED	751	Ensemble_of_genes_encoding_ECM-associated_proteins_including_ECM-affilaited_proteins,_ECM_regulators_and_secreted_factors	142	0.1891	1.35E-121	1.5E-118
NABA_SECRETED_FACTORS	343	Genes_encoding_secreted_soluble_factors	95	0.2770	4.44E-97	4.11E-94
HALLMARK_ALLOGRAFT_REJECTION	200	Genes_up-regulated_during_transplant_rejection.	74	0.3700	3.4E-86	2.7E-83
KEGG_JAK_STAT_SIGNALING_PATHWAY	155	Jak-STAT_signaling_pathway	65	0.4194	4.92E-80	3.41E-77
YOSHIMURA_MAPK8_TARGETS_UP	1179	Genes_up-regulated_in_vascular_smooth_muscle_cells_(VSMC)_by_MAPK8_(JNK1)_[GeneID=5599].	119	0.1009	1.6E-68	9.88E-66
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	111	Interleukin-4_and_Interleukin-13_signaling	51	0.4595	1.95E-65	1.08E-62
HALLMARK_IL6_JAK_STAT3_SIGNALING	87	Genes_up-regulated_by_IL6_[GeneID=3569]_via_STAT3_[GeneID=6774],_e.g.,_during_acute_phase_response.	47	0.5402	8.18E-65	4.13E-62
REACTOME_INTERLEUKIN_10_SIGNALING	46	Interleukin-10_signaling	38	0.8261	4.65E-64	2.15E-61
REACTOME_INNATE_IMMUNE_SYSTEM	1104	Innate_Immune_System	110	0.0996	1.67E-62	7.11E-60
HALLMARK_INFLAMMATORY_RESPONSE	200	Genes_defining_inflammatory_response.	57	0.2850	8.38E-59	3.32E-56
GAURNIER_PSMD4_TARGETS	73	Inflammatory_cytokines,_chemokines_and_their_cognate_receptors_up-regulated_in_THP-1_cells_(monocyte)_after_treatment_with_PSMD4_[GeneID=5710].	41	0.5616	1.3E-57	4.82E-55
KEGG_CHEMOKINE_SIGNALING_PATHWAY	189	Chemokine_signaling_pathway	55	0.2910	2.56E-57	8.89E-55
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	102	Toll-like_receptor_signaling_pathway	45	0.4412	8.76E-57	2.83E-54
VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_UP	162	Angiogenic_markers_up-regulated_in_lymph_endothelial_cells_upon_infection_with_KSHV_(Kaposi's_sarcoma_herpes_virus).	52	0.3210	9.16E-57	2.83E-54
MCLACHLAN_DENTAL_CARIES_UP	265	Genes_up-regulated_in_pulpal_tissue_extracted_from_carious_teeth.	54	0.2038	3.92E-47	1.15E-44
REACTOME_HEMOSTASIS	674	Hemostasis	74	0.1098	1.4E-44	3.9E-42
KUROZUMI_RESPONSE_TO_ONCOCYTIC_VIRUS	43	Inflammatory_cytokines_and_their_receptors_modulated_in_brain_tumors_after_treatment_with_an_oncocytic_virus,_a_potential_anticancer_therapy.	29	0.6744	1.62E-44	4.28E-42
KEGG_LEISHMANIA_INFECTION	72	Leishmania_infection	34	0.4722	1.98E-44	4.99E-42
